system_id,composition_fraction
random757900,"{'Rb': 0.5, 'As': 0.5}"
random2443729,"{'S': 0.5, 'Sn': 0.5}"
random1438104,"{'Au': 0.16666666666666666, 'In': 0.3333333333333333, 'Na': 0.5}"
random804683,"{'In': 0.375, 'Sr': 0.625}"
random2217934,"{'Ti': 0.3333333333333333, 'S': 0.6666666666666666}"
random2092147,"{'In': 0.2, 'Bi': 0.2, 'S': 0.6}"
random1489189,"{'Rb': 0.6666666666666666, 'Te': 0.3333333333333333}"
random1637469,"{'K': 0.5, 'P': 0.5}"
random1762541,"{'Mn': 0.36363636363636365, 'Si': 0.6363636363636364}"
random639893,"{'K': 0.3333333333333333, 'Sb': 0.6666666666666666}"
random1693018,"{'Cr': 0.14285714285714285, 'Mo': 0.2857142857142857, 'S': 0.5714285714285714}"
random1384288,"{'Fe': 0.3333333333333333, 'Si': 0.6666666666666666}"
random1436423,"{'Ir': 0.5, 'V': 0.5}"
random1245835,"{'Mn': 0.2857142857142857, 'Au': 0.7142857142857143}"
random837612,"{'Ir': 0.75, 'Re': 0.25}"
random2169718,"{'Cu': 0.5, 'Au': 0.5}"
random496223,"{'Hf': 0.3333333333333333, 'Au': 0.6666666666666666}"
random1816096,"{'S': 0.5, 'Sn': 0.5}"
random2360792,"{'Cl': 0.5, 'Sc': 0.5}"
random671217,"{'Al': 0.26666666666666666, 'Ta': 0.7333333333333333}"
random1539534,"{'Hf': 0.6428571428571429, 'Mo': 0.2857142857142857, 'As': 0.07142857142857142}"
random692616,"{'Ti': 0.5128205128205128, 'Se': 0.48717948717948717}"
random912975,"{'Cs': 0.2, 'Ga': 0.2, 'S': 0.6}"
random2072086,"{'Sr': 0.625, 'Bi': 0.375}"
random97091,{'Ta': 1.0}
random775005,"{'Y': 0.75, 'Pb': 0.25}"
random1164008,"{'Te': 0.6666666666666666, 'W': 0.3333333333333333}"
random1989265,"{'Sn': 0.6666666666666666, 'Rh': 0.3333333333333333}"
random1975470,"{'Hf': 0.3333333333333333, 'Ge': 0.3333333333333333, 'Mo': 0.3333333333333333}"
random609823,"{'Hg': 0.5, 'S': 0.5}"
random530277,"{'Te': 0.4666666666666667, 'Rh': 0.06666666666666667, 'Cl': 0.4666666666666667}"
random2355482,"{'Au': 0.6666666666666666, 'Hf': 0.3333333333333333}"
random2346139,"{'Hf': 0.6666666666666666, 'Cu': 0.3333333333333333}"
random2244454,"{'Al': 0.9230769230769231, 'Cr': 0.038461538461538464, 'Mn': 0.038461538461538464}"
random1960826,"{'As': 0.5, 'Rb': 0.5}"
random271826,"{'K': 0.75, 'Sb': 0.25}"
random2286873,"{'K': 0.5, 'Sb': 0.5}"
random2224145,"{'Ca': 0.2, 'In': 0.4, 'P': 0.4}"
random439282,"{'Cr': 0.4, 'Se': 0.6}"
random1095292,"{'Nb': 0.25, 'Ir': 0.75}"
random2099455,"{'Cs': 0.07142857142857142, 'In': 0.35714285714285715, 'S': 0.5714285714285714}"
random609301,"{'Zr': 0.3333333333333333, 'Cu': 0.16666666666666666, 'Sb': 0.5}"
random1597956,"{'Ca': 0.4444444444444444, 'Ir': 0.1111111111111111, 'N': 0.4444444444444444}"
random2342500,"{'Ni': 0.4, 'Si': 0.4, 'Zr': 0.2}"
random2032460,"{'Hf': 0.5, 'Mo': 0.25, 'Pt': 0.25}"
random2265332,"{'W': 0.6666666666666666, 'Zr': 0.3333333333333333}"
random1692622,"{'Cl': 0.8181818181818182, 'Mo': 0.09090909090909091, 'P': 0.09090909090909091}"
random817543,"{'Hf': 0.6666666666666666, 'Cu': 0.3333333333333333}"
random1598481,{'Ti': 1.0}
random2070738,"{'In': 0.8, 'Sr': 0.2}"
random2157907,{'Sc': 1.0}
random733084,"{'Ca': 0.25, 'Hg': 0.75}"
random754087,"{'Cr': 0.4666666666666667, 'Se': 0.5333333333333333}"
random2143398,"{'Y': 0.16666666666666666, 'Si': 0.3333333333333333, 'Rh': 0.5}"
random1799327,{'In': 1.0}
random1111765,"{'Ti': 0.6666666666666666, 'Se': 0.3333333333333333}"
random2322997,"{'Hf': 0.5714285714285714, 'N': 0.42857142857142855}"
random1873500,"{'Y': 0.3076923076923077, 'Al': 0.07692307692307693, 'Ge': 0.6153846153846154}"
random1131413,"{'Ti': 0.5, 'Os': 0.5}"
random1666394,"{'K': 0.3333333333333333, 'Pb': 0.6666666666666666}"
random1786829,{'Hg': 1.0}
random1368733,{'Si': 1.0}
random2152793,{'Sb': 1.0}
random998531,"{'Sr': 0.5, 'Te': 0.5}"
random1404276,"{'Fe': 0.1111111111111111, 'Si': 0.4444444444444444, 'P': 0.4444444444444444}"
random721340,"{'Al': 0.75, 'Mo': 0.25}"
random2359664,"{'V': 0.16666666666666666, 'Si': 0.6666666666666666, 'Mo': 0.16666666666666666}"
random47774,{'Te': 1.0}
random107753,"{'Cd': 0.25, 'Sb': 0.5, 'Sn': 0.25}"
random937171,"{'Te': 0.6666666666666666, 'Ir': 0.3333333333333333}"
random1323612,"{'Ru': 0.5, 'Si': 0.25, 'V': 0.25}"
random831533,"{'Si': 0.6, 'Ru': 0.4}"
random34899,"{'Pb': 0.5, 'S': 0.5}"
random2110769,"{'Tl': 0.16666666666666666, 'Pt': 0.3333333333333333, 'S': 0.5}"
random1539890,"{'Hf': 0.5, 'Ru': 0.5}"
random564496,"{'Co': 0.25, 'Ge': 0.5, 'Y': 0.25}"
random1147286,"{'Ag': 0.75, 'Ca': 0.25}"
random553785,"{'V': 0.5454545454545454, 'Ga': 0.45454545454545453}"
random1794213,{'Ca': 1.0}
random874184,"{'Y': 0.6666666666666666, 'Pt': 0.3333333333333333}"
random834064,"{'Re': 0.5, 'Ir': 0.5}"
random1195056,"{'Sr': 0.4, 'Bi': 0.6}"
random1901381,"{'N': 0.3333333333333333, 'Na': 0.3333333333333333, 'Zn': 0.3333333333333333}"
random1402449,"{'Na': 0.3888888888888889, 'In': 0.16666666666666666, 'Se': 0.4444444444444444}"
random1641389,"{'Mn': 0.5, 'Te': 0.5}"
random1654750,"{'Al': 0.25, 'Mo': 0.75}"
random735110,"{'Hf': 0.3333333333333333, 'Nb': 0.2222222222222222, 'Ge': 0.4444444444444444}"
random1269991,"{'Pt': 0.42857142857142855, 'Te': 0.5714285714285714}"
random729690,"{'Hf': 0.5, 'Tc': 0.5}"
random735193,"{'K': 0.5, 'Se': 0.5}"
random1304531,"{'Te': 0.2222222222222222, 'W': 0.3333333333333333, 'S': 0.4444444444444444}"
random1080272,"{'Al': 0.5, 'Ag': 0.5}"
random2199348,"{'Nb': 0.5, 'N': 0.5}"
random403791,"{'Au': 0.5, 'Ca': 0.5}"
random1418982,"{'Ag': 0.5, 'Ca': 0.5}"
random1882471,"{'Cu': 0.25, 'Sn': 0.5, 'Sr': 0.25}"
random41868,"{'Sb': 0.5, 'Ru': 0.5}"
random731608,"{'Na': 0.3, 'Mo': 0.1, 'Cl': 0.6}"
random2482835,"{'In': 0.6666666666666666, 'Zr': 0.3333333333333333}"
random354403,"{'Cu': 0.25, 'Sc': 0.5, 'Zn': 0.25}"
random1032969,"{'Ta': 0.6666666666666666, 'S': 0.3333333333333333}"
random1839629,"{'Y': 0.09523809523809523, 'P': 0.3333333333333333, 'Rh': 0.5714285714285714}"
random1698380,"{'Mo': 0.25, 'Pd': 0.75}"
random1819306,"{'Mn': 0.75, 'Ge': 0.25}"
random486077,"{'Ag': 0.5, 'Pd': 0.5}"
random2084129,"{'Zn': 0.5, 'Ir': 0.5}"
random1749566,"{'Ca': 0.45454545454545453, 'Co': 0.18181818181818182, 'N': 0.36363636363636365}"
random2019949,"{'Rb': 0.2222222222222222, 'Mn': 0.3333333333333333, 'Se': 0.4444444444444444}"
random1751935,"{'Na': 0.2, 'P': 0.2, 'S': 0.6}"
random1523723,"{'As': 0.4, 'Te': 0.6}"
random837083,"{'Zr': 0.21052631578947367, 'Sc': 0.2631578947368421, 'N': 0.5263157894736842}"
random1333732,"{'Ti': 0.6666666666666666, 'S': 0.3333333333333333}"
random936977,"{'S': 0.5714285714285714, 'V': 0.42857142857142855}"
random1828301,"{'Pd': 0.3333333333333333, 'Se': 0.3333333333333333, 'S': 0.3333333333333333}"
random1577988,"{'Y': 0.2, 'Si': 0.4, 'Os': 0.4}"
random568442,"{'Zr': 0.75, 'Fe': 0.25}"
random184663,"{'Cl': 0.5, 'In': 0.5}"
random1278781,{'Sn': 1.0}
random2270317,"{'K': 0.4, 'Se': 0.6}"
random716325,"{'Ta': 0.3333333333333333, 'Si': 0.3333333333333333, 'Ir': 0.3333333333333333}"
random1721902,"{'Ge': 0.375, 'Mo': 0.625}"
random2091132,"{'Sc': 0.3333333333333333, 'Al': 0.16666666666666666, 'Co': 0.5}"
random744627,"{'Sr': 0.25, 'As': 0.75}"
random1509830,"{'Al': 0.25, 'Cu': 0.5, 'Hf': 0.25}"
random652068,"{'Ag': 0.25, 'In': 0.25, 'Se': 0.5}"
random2338256,{'W': 1.0}
random1171407,"{'Au': 0.5, 'Cu': 0.5}"
random1778561,"{'Y': 0.25, 'Ag': 0.25, 'Se': 0.5}"
random1890485,"{'Cd': 0.3333333333333333, 'Cl': 0.16666666666666666, 'P': 0.5}"
random1134261,{'Ti': 1.0}
random2496955,"{'Zr': 0.6666666666666666, 'Re': 0.3333333333333333}"
random2130510,"{'Mn': 0.26666666666666666, 'Al': 0.7333333333333333}"
random905162,"{'Pd': 0.6363636363636364, 'Se': 0.36363636363636365}"
random1578015,"{'Nb': 0.3125, 'Si': 0.375, 'W': 0.3125}"
random2384276,"{'Ga': 0.375, 'Sc': 0.3125, 'Zr': 0.3125}"
random1681360,"{'Ge': 0.5, 'Pt': 0.5}"
random471706,{'In': 1.0}
random2040033,"{'Sn': 0.8, 'Au': 0.2}"
random1700363,"{'Cs': 0.5, 'Hg': 0.5}"
random342172,"{'Y': 0.3333333333333333, 'Au': 0.6666666666666666}"
random2180966,"{'Sr': 0.2, 'Bi': 0.4, 'Pd': 0.4}"
random1372568,"{'Si': 0.3333333333333333, 'P': 0.6666666666666666}"
random1279838,"{'Te': 0.16666666666666666, 'Mo': 0.3333333333333333, 'Se': 0.5}"
random1373614,"{'Al': 0.5, 'Ni': 0.5}"
random1880672,{'Rb': 1.0}
random1253898,"{'Y': 0.25, 'Tl': 0.25, 'S': 0.5}"
random1210172,"{'Hf': 0.6, 'P': 0.4}"
random1396640,"{'Ti': 0.5454545454545454, 'Sn': 0.45454545454545453}"
random2005068,"{'Sr': 0.17647058823529413, 'P': 0.8235294117647058}"
random2029826,"{'Ge': 0.25, 'V': 0.75}"
random28421,"{'Hf': 0.5, 'Cd': 0.5}"
random1559935,"{'Sn': 0.6666666666666666, 'Y': 0.3333333333333333}"
random359606,"{'Hf': 0.75, 'Bi': 0.25}"
random1362401,"{'Nb': 0.75, 'Au': 0.25}"
random488551,"{'Cl': 0.8, 'Si': 0.2}"
random1273007,"{'Ir': 0.16666666666666666, 'Nb': 0.16666666666666666, 'Te': 0.6666666666666666}"
random1728682,"{'P': 0.375, 'N': 0.625}"
random2003454,"{'As': 0.5, 'Ga': 0.5}"
random128336,"{'K': 0.6666666666666666, 'Se': 0.3333333333333333}"
random848826,"{'Hf': 0.0625, 'Al': 0.1875, 'Ni': 0.75}"
random10385,{'Re': 1.0}
random1198223,"{'Mo': 0.5, 'Rh': 0.5}"
random2367820,"{'S': 0.6, 'Ti': 0.4}"
random1934973,"{'Ti': 0.5555555555555556, 'Ga': 0.4444444444444444}"
random862862,"{'Ag': 0.6666666666666666, 'Se': 0.3333333333333333}"
random1467544,"{'Ge': 0.5, 'S': 0.5}"
random918335,"{'Sr': 0.3333333333333333, 'Al': 0.6666666666666666}"
random2332800,"{'Mn': 0.75, 'Ge': 0.25}"
random794231,"{'Sr': 0.5, 'Tl': 0.5}"
random899864,"{'Cu': 0.3333333333333333, 'Te': 0.3333333333333333, 'As': 0.3333333333333333}"
random2160400,"{'In': 0.5, 'P': 0.5}"
random735317,"{'Sr': 0.25, 'Si': 0.25, 'N': 0.5}"
random1317833,"{'Pb': 0.3333333333333333, 'S': 0.6666666666666666}"
random2194055,"{'Zr': 0.3333333333333333, 'Si': 0.3333333333333333, 'Os': 0.3333333333333333}"
random1586449,"{'Al': 0.25, 'Ni': 0.5, 'Ti': 0.25}"
random416077,"{'K': 0.3333333333333333, 'Na': 0.3333333333333333, 'S': 0.3333333333333333}"
random1831813,"{'Ge': 0.6666666666666666, 'Mo': 0.3333333333333333}"
random667101,"{'Zr': 0.2857142857142857, 'Cu': 0.14285714285714285, 'Ge': 0.5714285714285714}"
random943204,"{'Ca': 0.38461538461538464, 'Si': 0.15384615384615385, 'N': 0.46153846153846156}"
random805283,{'Pb': 1.0}
random1835539,"{'Nb': 0.25, 'Fe': 0.25, 'Te': 0.5}"
random1776876,"{'Cs': 0.6666666666666666, 'S': 0.3333333333333333}"
random517553,"{'Sr': 0.16666666666666666, 'Zn': 0.8333333333333334}"
random2135649,"{'Fe': 0.5, 'Te': 0.125, 'Se': 0.375}"
random931708,"{'Ru': 0.5, 'Sb': 0.5}"
random2272960,"{'Nb': 0.5, 'Rh': 0.5}"
random2412496,"{'Al': 0.6428571428571429, 'Sr': 0.35714285714285715}"
random1332783,"{'Co': 0.6666666666666666, 'Ge': 0.3333333333333333}"
random1259221,"{'Ca': 0.1111111111111111, 'Fe': 0.5555555555555556, 'As': 0.3333333333333333}"
random451901,"{'Fe': 0.25, 'Hf': 0.5, 'Tc': 0.25}"
random1081108,"{'Si': 0.5, 'Tc': 0.5}"
random1679187,{'Y': 1.0}
random1696640,"{'Tc': 0.5, 'V': 0.5}"
random862586,"{'Sc': 0.625, 'Ga': 0.375}"
random1475546,"{'Hg': 0.25, 'Pd': 0.75}"
random1657639,"{'Cl': 0.6666666666666666, 'Cs': 0.2222222222222222, 'Pt': 0.1111111111111111}"
random993300,"{'Zr': 0.6666666666666666, 'Co': 0.1111111111111111, 'Sn': 0.2222222222222222}"
random1712350,"{'Ga': 0.375, 'Ta': 0.625}"
random1773374,"{'Al': 0.8653846153846154, 'Cr': 0.1346153846153846}"
random2060459,"{'Sr': 0.4, 'Cd': 0.2, 'Pt': 0.4}"
random889166,"{'Hg': 0.4, 'Sn': 0.4, 'Sr': 0.2}"
random1906666,"{'K': 0.625, 'Te': 0.375}"
random1404290,"{'Nb': 0.3333333333333333, 'Pd': 0.6666666666666666}"
random1624263,"{'Al': 0.7142857142857143, 'Rh': 0.2857142857142857}"
random115177,"{'Pb': 0.5, 'S': 0.5}"
random1150551,"{'Y': 0.3333333333333333, 'Sn': 0.3333333333333333, 'Ir': 0.3333333333333333}"
random2021271,"{'Cr': 0.75, 'Ga': 0.25}"
random1651861,"{'Ge': 0.25, 'Nb': 0.375, 'V': 0.375}"
random2085738,"{'Sr': 0.2, 'Zn': 0.4, 'P': 0.4}"
random2395594,"{'Co': 0.75, 'P': 0.25}"
random910641,"{'Sn': 0.5, 'Se': 0.5}"
random2028768,"{'Ni': 0.8, 'W': 0.2}"
random2288015,"{'Cr': 0.5, 'As': 0.5}"
random1646280,"{'Hf': 0.75, 'Sc': 0.25}"
random2470290,"{'S': 0.5714285714285714, 'Zr': 0.42857142857142855}"
random1178710,"{'Ta': 0.6, 'Ga': 0.4}"
random2032115,"{'Sn': 0.25, 'Te': 0.5, 'Pb': 0.25}"
random2473129,"{'Ta': 0.5, 'Au': 0.5}"
random1031143,"{'Ca': 0.3333333333333333, 'Cl': 0.6666666666666666}"
random1146489,"{'As': 0.3333333333333333, 'Ca': 0.3333333333333333, 'Na': 0.3333333333333333}"
random521060,"{'In': 0.6666666666666666, 'Se': 0.3333333333333333}"
random237503,"{'Al': 0.2, 'P': 0.6, 'Si': 0.2}"
random1503472,"{'Bi': 0.48, 'Pt': 0.04, 'Cl': 0.48}"
random984616,"{'Ge': 0.8, 'Ir': 0.2}"
random1629328,"{'Ga': 0.5, 'Fe': 0.25, 'Co': 0.25}"
random1120972,"{'Co': 0.5384615384615384, 'Mo': 0.46153846153846156}"
random2012439,"{'Ta': 0.125, 'Co': 0.75, 'Mo': 0.125}"
random577836,"{'K': 0.25, 'Se': 0.5, 'Sn': 0.25}"
random1121436,{'Ge': 1.0}
random858154,"{'Fe': 0.16666666666666666, 'Co': 0.16666666666666666, 'S': 0.6666666666666666}"
random1291478,"{'Sn': 0.09090909090909091, 'P': 0.6363636363636364, 'Au': 0.2727272727272727}"
random2219015,"{'Fe': 0.6666666666666666, 'Si': 0.3333333333333333}"
random946556,"{'Cu': 0.75, 'Si': 0.25}"
random1776377,{'Y': 1.0}
random932859,"{'Sn': 0.5, 'S': 0.5}"
random726817,{'Cd': 1.0}
random446577,"{'Ni': 0.3333333333333333, 'Si': 0.6666666666666666}"
random1020819,"{'Zr': 0.375, 'Rh': 0.625}"
random308793,"{'In': 0.16666666666666666, 'Sn': 0.25, 'S': 0.5833333333333334}"
random2381980,"{'Rh': 0.3333333333333333, 'Te': 0.6666666666666666}"
random1529724,"{'Hf': 0.5, 'Ni': 0.25, 'P': 0.25}"
random533107,"{'Al': 0.3333333333333333, 'Pt': 0.6666666666666666}"
random907397,"{'Cs': 0.25, 'Ga': 0.75}"
random497694,"{'Re': 0.75, 'Ru': 0.25}"
random736432,"{'Cu': 0.6666666666666666, 'Sb': 0.3333333333333333}"
random1827478,"{'Rb': 0.6666666666666666, 'Te': 0.3333333333333333}"
random980730,"{'Y': 0.3333333333333333, 'Ti': 0.3333333333333333, 'Si': 0.3333333333333333}"
random941063,"{'Ti': 0.25, 'Ga': 0.75}"
random2003121,"{'Bi': 0.18181818181818182, 'Pb': 0.2727272727272727, 'S': 0.5454545454545454}"
random1320717,"{'Al': 0.8181818181818182, 'Co': 0.18181818181818182}"
random2419337,{'Rb': 1.0}
random1647542,"{'Ca': 0.5, 'Al': 0.5}"
random2341294,"{'Sn': 0.2, 'P': 0.2, 'S': 0.6}"
random1760644,{'Rb': 1.0}
random731569,"{'Cl': 0.6, 'Cs': 0.2, 'Pb': 0.2}"
random1393240,"{'K': 0.2857142857142857, 'Se': 0.7142857142857143}"
random2033775,"{'K': 0.4, 'As': 0.4, 'Pd': 0.2}"
random604914,{'Ta': 1.0}
random647739,"{'Hf': 0.75, 'Sb': 0.25}"
random40492,"{'Ge': 0.5, 'K': 0.5}"
random869175,"{'Y': 0.5, 'Au': 0.5}"
random887617,"{'Ca': 0.5454545454545454, 'N': 0.18181818181818182, 'Te': 0.2727272727272727}"
random1337287,{'In': 1.0}
random2075443,"{'Ca': 0.25, 'In': 0.5, 'Ir': 0.25}"
random1154175,"{'Ge': 0.42857142857142855, 'N': 0.5714285714285714}"
random2105798,"{'Au': 0.3333333333333333, 'Hf': 0.6666666666666666}"
random1324120,"{'V': 0.75, 'Ga': 0.25}"
random694508,"{'Te': 0.5, 'Pb': 0.5}"
random1852979,"{'Na': 0.3, 'Y': 0.1, 'Cl': 0.6}"
random1882101,"{'Sr': 0.3333333333333333, 'Au': 0.6666666666666666}"
random1648806,"{'Zr': 0.3333333333333333, 'Al': 0.16666666666666666, 'Fe': 0.5}"
random754455,"{'Zr': 0.07692307692307693, 'Fe': 0.46153846153846156, 'Sn': 0.46153846153846156}"
random1873387,"{'Bi': 0.5, 'Pd': 0.25, 'Pt': 0.25}"
random240853,{'Sb': 1.0}
random1225535,"{'Fe': 0.5, 'Si': 0.25, 'Ti': 0.25}"
random1874867,"{'Hf': 0.5, 'As': 0.5}"
random676167,{'Ti': 1.0}
random2436573,"{'Ca': 0.75, 'Tl': 0.25}"
random1535456,"{'Hf': 0.6666666666666666, 'Ni': 0.3333333333333333}"
random2029088,"{'Sr': 0.2727272727272727, 'Fe': 0.2727272727272727, 'N': 0.45454545454545453}"
random2277051,"{'Nb': 0.5, 'N': 0.5}"
random1900484,"{'Sb': 0.3333333333333333, 'Te': 0.6666666666666666}"
random562058,{'Re': 1.0}
random149736,{'Cs': 1.0}
random946876,"{'K': 0.25, 'Nb': 0.25, 'Se': 0.5}"
random1802655,"{'Sc': 0.25, 'Pb': 0.75}"
random612446,"{'Cu': 0.08333333333333333, 'Ni': 0.25, 'S': 0.6666666666666666}"
random2218502,{'Hg': 1.0}
random1294012,"{'P': 0.4444444444444444, 'S': 0.5555555555555556}"
random1176204,"{'S': 0.6666666666666666, 'Sn': 0.3333333333333333}"
random1729471,"{'Cd': 0.5, 'S': 0.5}"
random1406954,"{'Y': 0.75, 'Cd': 0.25}"
random2392759,"{'K': 0.25, 'Nb': 0.25, 'Se': 0.5}"
random1178918,"{'Sr': 0.14285714285714285, 'As': 0.2857142857142857, 'S': 0.5714285714285714}"
random1644474,"{'Na': 0.25, 'Sn': 0.25, 'Tl': 0.5}"
random574365,"{'Se': 0.5, 'Zn': 0.5}"
random1533912,"{'Ta': 0.3333333333333333, 'Fe': 0.6666666666666666}"
random1255194,"{'Re': 0.5, 'Os': 0.5}"
random142580,"{'In': 0.5714285714285714, 'Se': 0.42857142857142855}"
random1035853,"{'Y': 0.25, 'Sn': 0.75}"
random1284069,"{'Ca': 0.5, 'Sn': 0.5}"
random2489999,"{'Cr': 0.3333333333333333, 'Mo': 0.3333333333333333, 'V': 0.3333333333333333}"
random730637,"{'Pt': 0.25, 'Rh': 0.75}"
random1969674,"{'Zr': 0.3333333333333333, 'Si': 0.16666666666666666, 'Ni': 0.5}"
random2092182,{'Ni': 1.0}
random1135918,"{'Ag': 0.6666666666666666, 'Sc': 0.3333333333333333}"
random1211719,"{'Ca': 0.3333333333333333, 'Pt': 0.6666666666666666}"
random73190,"{'Bi': 0.25, 'Hf': 0.75}"
random935110,"{'Y': 0.5, 'Cu': 0.5}"
random330088,"{'Ca': 0.2, 'Zn': 0.4, 'Ge': 0.4}"
random601241,{'Na': 1.0}
random1462374,"{'Hf': 0.5555555555555556, 'Sn': 0.4444444444444444}"
random2414478,{'K': 1.0}
random1503100,"{'Fe': 0.6666666666666666, 'P': 0.3333333333333333}"
random2194466,{'Sr': 1.0}
random1672633,"{'Ir': 0.3333333333333333, 'Si': 0.6666666666666666}"
random1632121,"{'Ir': 0.5, 'W': 0.5}"
random1399807,{'Pb': 1.0}
random42234,"{'Hf': 0.25, 'Rh': 0.75}"
random2232250,"{'Ca': 0.16666666666666666, 'Ni': 0.8333333333333334}"
random1751364,"{'K': 0.5555555555555556, 'Sb': 0.4444444444444444}"
random550028,"{'P': 0.4, 'Ru': 0.4, 'Sr': 0.2}"
random1179053,"{'Na': 0.3333333333333333, 'Zn': 0.3333333333333333, 'P': 0.3333333333333333}"
random868117,"{'Sr': 0.3333333333333333, 'In': 0.3333333333333333, 'Pt': 0.3333333333333333}"
random1627654,{'Cr': 1.0}
random2213694,"{'Zn': 0.5, 'Pd': 0.25, 'Au': 0.25}"
random2118162,"{'Zr': 0.75, 'Co': 0.25}"
random2240732,"{'Ti': 0.75, 'Sb': 0.25}"
random1408100,"{'Al': 0.25, 'Fe': 0.5, 'W': 0.25}"
random748718,"{'Sc': 0.2, 'Ag': 0.8}"
random2328916,"{'Bi': 0.4, 'Cs': 0.4, 'Pd': 0.2}"
random1696089,"{'Ag': 0.25, 'Sn': 0.25, 'Te': 0.5}"
random1451067,"{'Mn': 0.75, 'Pt': 0.25}"
random1325906,"{'Hf': 0.5714285714285714, 'N': 0.42857142857142855}"
random2387847,"{'V': 0.5454545454545454, 'C': 0.45454545454545453}"
random409107,"{'Zr': 0.5, 'Hg': 0.5}"
random2461798,"{'Te': 0.5, 'Pb': 0.5}"
random2216890,"{'Al': 0.25, 'Cd': 0.25, 'Sc': 0.5}"
random1557693,"{'Ti': 0.5, 'Ga': 0.5}"
random1664825,"{'Sc': 0.5454545454545454, 'Sn': 0.45454545454545453}"
random929845,{'Cu': 1.0}
random2241398,"{'In': 0.16666666666666666, 'Sn': 0.25, 'S': 0.5833333333333334}"
random247879,"{'Na': 0.3333333333333333, 'Pt': 0.6666666666666666}"
random864605,"{'Na': 0.6666666666666666, 'Te': 0.3333333333333333}"
random1252137,{'Ga': 1.0}
random1989609,"{'Ca': 0.5555555555555556, 'Au': 0.4444444444444444}"
random2212201,"{'Co': 0.45454545454545453, 'Te': 0.5454545454545454}"
random1171475,"{'In': 0.25, 'P': 0.75}"
random1282429,"{'Sr': 0.3333333333333333, 'Sb': 0.6666666666666666}"
random393593,"{'Ca': 0.5, 'As': 0.5}"
random653762,"{'Au': 0.6666666666666666, 'Ti': 0.3333333333333333}"
random667061,{'Rb': 1.0}
random2145420,"{'Rh': 0.42857142857142855, 'Te': 0.5714285714285714}"
random699939,"{'Fe': 0.07692307692307693, 'S': 0.6153846153846154, 'Ti': 0.3076923076923077}"
random596687,"{'Se': 0.25, 'Te': 0.25, 'Zn': 0.5}"
random1628468,"{'Ir': 0.25, 'Sb': 0.75}"
random2324653,"{'Mo': 0.5, 'Nb': 0.5}"
random556884,"{'Tl': 0.25, 'Ga': 0.25, 'Se': 0.5}"
random1656470,"{'Fe': 0.2647058823529412, 'Cu': 0.2647058823529412, 'S': 0.47058823529411764}"
random2302429,"{'As': 0.4444444444444444, 'K': 0.5555555555555556}"
random1993885,"{'P': 0.6666666666666666, 'W': 0.3333333333333333}"
random171963,"{'Sn': 0.42857142857142855, 'As': 0.5714285714285714}"
random2201236,"{'Ag': 0.3333333333333333, 'Ge': 0.16666666666666666, 'Se': 0.5}"
random604192,"{'Sr': 0.2, 'Al': 0.4, 'Si': 0.4}"
random394435,"{'Rh': 0.6666666666666666, 'Si': 0.3333333333333333}"
random1151312,"{'Rh': 0.25, 'Ru': 0.25, 'Ti': 0.5}"
random903713,"{'Ga': 0.25, 'V': 0.75}"
random1451937,"{'Si': 0.5, 'Ni': 0.5}"
random899578,"{'Bi': 0.5, 'Ni': 0.5}"
random984732,"{'Ga': 0.5, 'Bi': 0.25, 'As': 0.25}"
random1218049,"{'Rb': 0.2, 'As': 0.4, 'Rh': 0.4}"
random373125,{'Y': 1.0}
random35267,"{'V': 0.25, 'W': 0.75}"
random1013423,"{'K': 0.4, 'P': 0.6}"
random1543811,"{'Rb': 0.07142857142857142, 'In': 0.35714285714285715, 'S': 0.5714285714285714}"
random1384067,"{'Cr': 0.5, 'As': 0.5}"
random30457,"{'Ta': 0.375, 'N': 0.625}"
random481430,"{'K': 0.4, 'P': 0.6}"
random1299309,"{'Sn': 0.4, 'Se': 0.2, 'S': 0.4}"
random524502,"{'Sr': 0.5, 'Tl': 0.5}"
random37527,{'Na': 1.0}
random485587,"{'Sn': 0.6, 'Pt': 0.4}"
random2422589,"{'Mn': 0.16666666666666666, 'Zn': 0.16666666666666666, 'S': 0.6666666666666666}"
random1724261,"{'Rb': 0.4, 'Mn': 0.2, 'S': 0.4}"
random2285898,"{'Na': 0.5, 'Cd': 0.25, 'Sn': 0.25}"
random429718,"{'Hf': 0.3333333333333333, 'Se': 0.6666666666666666}"
random2262021,"{'Ca': 0.375, 'Ga': 0.375, 'Rh': 0.25}"
random728971,"{'Co': 0.25, 'Si': 0.375, 'Y': 0.375}"
random941229,"{'Ga': 0.25, 'Fe': 0.25, 'Ni': 0.5}"
random1737981,"{'Co': 0.16666666666666666, 'Rh': 0.16666666666666666, 'S': 0.6666666666666666}"
random1360330,"{'Sr': 0.6666666666666666, 'Ge': 0.3333333333333333}"
random557487,"{'Ti': 0.6666666666666666, 'Se': 0.3333333333333333}"
random1280009,"{'Cl': 0.8, 'Ta': 0.2}"
random1909165,"{'Sr': 0.14285714285714285, 'In': 0.42857142857142855, 'Au': 0.42857142857142855}"
random876190,"{'K': 0.4, 'Te': 0.6}"
random821881,"{'Y': 0.3333333333333333, 'Ga': 0.3333333333333333, 'Rh': 0.3333333333333333}"
random133123,"{'Ag': 0.6666666666666666, 'Na': 0.3333333333333333}"
random1343046,"{'Ti': 0.75, 'Au': 0.25}"
