system_id,composition
random715585,"{'Ca': 40, 'Zn': 24, 'H': 1}"
random582950,"{'Zr': 36, 'Zn': 36, 'H': 1}"
random882058,"{'Hf': 36, 'Cr': 36, 'Si': 36, 'H': 1}"
random1585912,"{'Hf': 84, 'Ni': 120, 'H': 1}"
random1834001,"{'Co': 20, 'P': 40, 'H': 1}"
random1408168,"{'Hg': 38, 'Rb': 10, 'H': 1}"
random2163513,"{'Pb': 16, 'S': 16, 'H': 1}"
random742297,"{'Hg': 60, 'H': 1}"
random1213084,"{'Ga': 16, 'K': 16, 'Sb': 64, 'H': 1}"
random207750,"{'Ta': 36, 'Au': 12, 'H': 1}"
random1395056,"{'P': 16, 'Y': 16, 'H': 1}"
random1718736,"{'In': 96, 'H': 1}"
random1558060,"{'Ti': 48, 'H': 1}"
random1014049,"{'Y': 20, 'Zn': 20, 'H': 1}"
random941132,"{'In': 36, 'H': 1}"
random1975903,"{'Sr': 12, 'H': 1}"
random746071,"{'Ni': 40, 'Mo': 10, 'H': 1}"
random2474203,"{'Ga': 24, 'Y': 40, 'H': 1}"
random476695,"{'Na': 54, 'H': 1}"
random2238594,"{'Ti': 24, 'Pd': 24, 'H': 1}"
random1130903,"{'Ni': 96, 'H': 1}"
random115892,"{'Ru': 48, 'H': 1}"
random987809,"{'Ca': 18, 'In': 6, 'H': 1}"
random459398,"{'Ag': 64, 'Ge': 8, 'Se': 48, 'H': 1}"
random1291334,"{'Fe': 24, 'As': 12, 'S': 36, 'H': 1}"
random2271055,"{'Ti': 24, 'Ge': 24, 'S': 72, 'H': 1}"
random2275598,"{'S': 32, 'Si': 16, 'Y': 48, 'H': 1}"
random2239652,"{'Ta': 16, 'Ni': 48, 'H': 1}"
random1077365,"{'Pd': 56, 'Se': 32, 'H': 1}"
random2217771,"{'Al': 24, 'Ga': 24, 'P': 48, 'H': 1}"
random491770,"{'In': 18, 'S': 36, 'Zn': 9, 'H': 1}"
random1269945,"{'Sr': 24, 'H': 49}"
random1185212,"{'Co': 24, 'Mn': 12, 'Sb': 12, 'H': 1}"
random1152954,"{'Rb': 12, 'H': 1}"
random974815,"{'Ta': 60, 'Ge': 36, 'H': 1}"
random780634,"{'Sr': 24, 'Al': 24, 'N': 40, 'H': 1}"
random685738,"{'H': 65, 'Pd': 16, 'Sr': 32}"
random2261373,"{'Y': 24, 'Ru': 16, 'H': 1}"
random1382576,"{'Sc': 36, 'Co': 6, 'Te': 12, 'H': 1}"
random1228850,"{'Hg': 16, 'Sr': 8, 'Tl': 8, 'H': 1}"
random515544,"{'Sr': 16, 'Zn': 80, 'H': 1}"
random1916843,"{'Mo': 40, 'Ru': 120, 'H': 1}"
random169449,"{'Zn': 18, 'Ir': 18, 'H': 1}"
random2068232,"{'Ge': 56, 'Pb': 8, 'N': 80, 'H': 1}"
random1957391,"{'S': 24, 'Sn': 24, 'H': 1}"
random1335371,"{'Bi': 12, 'Pd': 36, 'H': 1}"
random726501,"{'Ti': 144, 'S': 72, 'H': 1}"
random317654,"{'Ta': 36, 'Ga': 30, 'H': 1}"
random913660,"{'Zr': 16, 'Re': 32, 'H': 1}"
random139782,"{'Al': 24, 'Hf': 24, 'H': 1}"
random2041885,"{'Ge': 48, 'Os': 56, 'Sc': 32, 'H': 1}"
random261403,"{'Ag': 24, 'Ca': 24, 'H': 1}"
random1632427,"{'P': 24, 'Ir': 24, 'S': 24, 'H': 1}"
random2100833,"{'Cl': 90, 'In': 20, 'Ta': 30, 'H': 1}"
random1106065,"{'Ti': 24, 'Re': 12, 'H': 1}"
random1606972,"{'Al': 48, 'W': 12, 'H': 1}"
random966824,"{'Sr': 8, 'Pt': 40, 'H': 1}"
random696491,"{'Hf': 24, 'Au': 24, 'H': 1}"
random1626095,"{'Ca': 20, 'Zn': 20, 'H': 1}"
random85199,"{'Ca': 16, 'H': 49, 'Ru': 8}"
random2337267,"{'Ag': 12, 'Ga': 12, 'Y': 24, 'H': 1}"
random1812400,"{'Mn': 36, 'Al': 108, 'Si': 12, 'H': 1}"
random1628100,"{'Rb': 32, 'S': 16, 'H': 1}"
random205251,"{'Nb': 48, 'Ge': 8, 'Pt': 8, 'H': 1}"
random1233338,"{'As': 48, 'Ru': 24, 'H': 1}"
random2184175,"{'Ca': 8, 'H': 33, 'Rb': 16}"
random12925,"{'Rb': 16, 'Sb': 16, 'H': 1}"
random1738909,"{'Sr': 72, 'H': 1}"
random712429,"{'Na': 24, 'Au': 8, 'H': 1}"
random2130302,"{'Sr': 8, 'Mn': 8, 'Sb': 16, 'H': 1}"
random1094783,"{'Ti': 40, 'Pd': 40, 'H': 1}"
random947489,"{'Ga': 24, 'S': 24, 'H': 1}"
random2400964,"{'Zr': 16, 'Hg': 16, 'H': 1}"
random412531,"{'H': 28, 'Rh': 27}"
random307064,"{'Hf': 64, 'Al': 32, 'Si': 32, 'H': 1}"
random1137182,"{'Bi': 12, 'K': 12, 'Se': 24, 'H': 1}"
random1841666,"{'Nb': 16, 'Sn': 32, 'H': 1}"
random2071600,"{'Ca': 12, 'S': 12, 'H': 1}"
random29613,"{'Al': 24, 'Ru': 24, 'H': 1}"
random1247545,"{'Au': 64, 'Sc': 16, 'H': 1}"
random2062289,"{'Al': 12, 'Ir': 24, 'Zn': 12, 'H': 1}"
random1718689,"{'Ta': 64, 'Fe': 16, 'P': 16, 'H': 1}"
random567103,"{'Bi': 16, 'Pd': 48, 'H': 1}"
random833354,"{'Cu': 28, 'Si': 8, 'H': 1}"
random544916,"{'Re': 16, 'Ru': 48, 'H': 1}"
random903950,"{'Nb': 36, 'Al': 6, 'Ge': 6, 'H': 1}"
random1974671,"{'Nb': 24, 'Al': 36, 'Ir': 12, 'H': 1}"
random1816173,"{'Re': 18, 'Os': 18, 'H': 1}"
random579480,"{'Al': 24, 'Pt': 72, 'H': 1}"
random96025,"{'V': 24, 'Ge': 48, 'H': 1}"
random262266,"{'Hf': 48, 'Ge': 24, 'H': 1}"
random1910436,"{'Cu': 64, 'Pd': 16, 'H': 1}"
random1939626,"{'Mo': 6, 'Cl': 36, 'H': 1}"
random2163312,"{'Al': 18, 'Cr': 36, 'H': 1}"
random1308083,"{'Cu': 16, 'Na': 32, 'P': 16, 'H': 1}"
random504467,"{'Tc': 16, 'Cl': 48, 'H': 1}"
random529641,"{'Al': 12, 'Os': 24, 'Ti': 12, 'H': 1}"
random2452100,"{'Sc': 32, 'Ge': 32, 'Rh': 32, 'H': 1}"
random1996338,"{'Zn': 24, 'Hg': 24, 'S': 48, 'H': 1}"
random1234172,"{'Ca': 16, 'Al': 32, 'H': 129}"
random1382387,"{'Re': 48, 'Ni': 16, 'H': 1}"
random208986,"{'Zr': 8, 'In': 24, 'H': 1}"
random1430865,"{'Y': 8, 'Cu': 40, 'H': 1}"
random1210911,"{'Al': 12, 'Cu': 36, 'H': 1}"
random855533,"{'Ga': 72, 'Re': 24, 'H': 1}"
random904684,"{'Pd': 40, 'Sn': 56, 'H': 1}"
random888772,"{'Ir': 60, 'W': 20, 'H': 1}"
random2233751,"{'Ca': 36, 'Ga': 36, 'N': 60, 'H': 1}"
random448828,"{'Ta': 18, 'Ir': 54, 'H': 1}"
random1055023,"{'Pb': 16, 'Cl': 32, 'H': 1}"
random931767,"{'Zn': 8, 'Sn': 8, 'As': 16, 'H': 1}"
random2327668,"{'Ru': 24, 'Si': 36, 'H': 1}"
random2011872,"{'Hf': 18, 'In': 24, 'H': 1}"
random1479734,"{'Sn': 16, 'S': 16, 'H': 1}"
random614742,"{'Mn': 27, 'Cd': 9, 'Te': 36, 'H': 1}"
random2374070,"{'Ta': 48, 'S': 8, 'H': 1}"
random1376404,"{'Te': 24, 'H': 1}"
random1450079,"{'Sn': 24, 'Sr': 24, 'H': 1}"
random765618,"{'Hg': 32, 'As': 16, 'Cl': 32, 'H': 1}"
random640065,"{'Ir': 64, 'V': 64, 'H': 1}"
random736010,"{'Al': 64, 'Pt': 128, 'H': 1}"
random110502,"{'In': 8, 'Cu': 8, 'Te': 16, 'H': 1}"
random958442,"{'Au': 12, 'Cu': 24, 'Pd': 12, 'H': 1}"
random1027950,"{'Sc': 24, 'Co': 24, 'P': 24, 'H': 1}"
random2090690,"{'Sc': 24, 'Os': 48, 'H': 1}"
random1546117,"{'Ni': 24, 'Te': 32, 'H': 1}"
random877102,"{'Ag': 24, 'Pt': 24, 'H': 1}"
random479258,"{'V': 24, 'Co': 108, 'Mo': 12, 'H': 1}"
random1914371,"{'Te': 54, 'Mo': 9, 'W': 18, 'H': 1}"
random2308751,"{'K': 32, 'H': 1}"
random1602244,"{'Ir': 24, 'Te': 48, 'H': 1}"
random838148,"{'Ta': 24, 'Ru': 24, 'H': 1}"
random687151,"{'Hf': 36, 'Zr': 36, 'H': 1}"
random1797752,"{'Hf': 81, 'N': 54, 'H': 1}"
random330243,"{'V': 12, 'Ga': 30, 'H': 1}"
random1047915,"{'As': 24, 'Ta': 30, 'H': 1}"
random2170786,"{'K': 24, 'Sb': 8, 'H': 1}"
random1998592,"{'Ga': 20, 'Os': 20, 'Sc': 40, 'H': 1}"
random1471599,"{'P': 24, 'S': 24, 'Ta': 24, 'H': 1}"
random1845393,"{'Cu': 16, 'S': 32, 'H': 1}"
random1519683,"{'H': 49, 'Sr': 24}"
random1986646,"{'Sr': 8, 'In': 16, 'H': 1}"
random2124170,"{'K': 16, 'Mn': 16, 'Cl': 48, 'H': 1}"
random6513,"{'Ti': 48, 'In': 16, 'H': 1}"
random923289,"{'Al': 16, 'Cu': 16, 'Rh': 32, 'H': 1}"
random1495217,"{'In': 64, 'Sr': 16, 'H': 1}"
random1375908,"{'Cl': 18, 'Cs': 9, 'Ga': 3, 'H': 1}"
random1290920,"{'Ga': 20, 'Sb': 20, 'H': 1}"
random2222396,"{'Pt': 96, 'V': 12, 'H': 1}"
random202811,"{'Al': 16, 'Ni': 48, 'H': 1}"
random1365662,"{'In': 20, 'Pb': 12, 'S': 42, 'H': 1}"
random587092,"{'Fe': 12, 'S': 12, 'Sb': 12, 'H': 1}"
random2297767,"{'Cu': 12, 'Tc': 12, 'Ti': 24, 'H': 1}"
random982200,"{'Nb': 36, 'N': 36, 'H': 1}"
random292408,"{'K': 6, 'Ca': 6, 'Cl': 18, 'H': 1}"
random610429,"{'Mn': 24, 'P': 96, 'H': 1}"
random2175719,"{'Al': 32, 'Nb': 32, 'Ti': 64, 'H': 1}"
random1884913,"{'Cs': 16, 'H': 1}"
random839575,"{'V': 72, 'Si': 12, 'Ge': 12, 'H': 1}"
random2064427,"{'Mo': 16, 'Ni': 48, 'H': 1}"
random522855,"{'H': 33, 'V': 64}"
random366300,"{'In': 48, 'Sc': 24, 'H': 1}"
random2315521,"{'Al': 24, 'Ni': 48, 'H': 1}"
random2037166,"{'K': 16, 'Se': 48, 'H': 1}"
random1045954,"{'Sr': 8, 'Al': 8, 'Ge': 8, 'H': 1}"
random1332557,"{'Mn': 96, 'P': 48, 'H': 1}"
random2287230,"{'Ta': 60, 'S': 96, 'H': 1}"
random2305763,"{'Y': 36, 'Pt': 12, 'H': 1}"
random808551,"{'Cr': 20, 'Se': 32, 'H': 1}"
random1862276,"{'Ag': 8, 'Te': 24, 'H': 1}"
random769100,"{'Si': 48, 'Ti': 60, 'H': 1}"
random1490562,"{'Cr': 24, 'Rh': 24, 'H': 1}"
random1800768,"{'Sn': 32, 'Se': 16, 'S': 16, 'H': 1}"
random1632164,"{'Sn': 12, 'Ti': 36, 'H': 1}"
random76648,"{'Sc': 36, 'H': 1}"
random208320,"{'Si': 24, 'Ti': 40, 'H': 1}"
random1842013,"{'Fe': 24, 'Cl': 48, 'H': 1}"
random1442251,"{'Ca': 24, 'Tl': 8, 'H': 1}"
random1524041,"{'Sr': 36, 'As': 36, 'H': 1}"
random2449963,"{'Zr': 16, 'Ni': 16, 'Sb': 16, 'H': 1}"
random2408282,"{'Ti': 24, 'Fe': 24, 'H': 1}"
random759422,"{'Sr': 12, 'Zn': 24, 'H': 1}"
random1288602,"{'V': 24, 'As': 24, 'Rh': 24, 'H': 1}"
random507498,"{'Bi': 20, 'Rh': 20, 'S': 20, 'H': 1}"
random765115,"{'N': 18, 'P': 18, 'V': 54, 'H': 1}"
random1598803,"{'Fe': 12, 'Ni': 24, 'Se': 48, 'H': 1}"
random1089693,"{'In': 8, 'Te': 20, 'H': 1}"
random1131196,"{'Bi': 48, 'H': 1}"
random581734,"{'Ti': 48, 'In': 16, 'H': 1}"
random979953,"{'Bi': 48, 'Pd': 48, 'H': 1}"
random971859,"{'K': 24, 'As': 8, 'Se': 32, 'H': 1}"
random1856530,"{'S': 45, 'Zn': 45, 'H': 1}"
random2071530,"{'Ge': 24, 'S': 48, 'H': 1}"
random2436716,"{'Cd': 36, 'H': 1}"
random1159592,"{'Cs': 12, 'In': 36, 'H': 1}"
random1132917,"{'H': 73, 'V': 36}"
random1540673,"{'Cu': 32, 'Au': 32, 'H': 1}"
random1039244,"{'Hf': 48, 'Al': 36, 'H': 1}"
random2109613,"{'Hg': 12, 'S': 8, 'Cl': 8, 'H': 1}"
random1088511,"{'Sr': 40, 'As': 24, 'H': 1}"
random1816273,"{'S': 36, 'Ta': 18, 'H': 1}"
random679472,"{'Ti': 9, 'Te': 18, 'H': 1}"
random1448733,"{'Y': 48, 'H': 33}"
random464021,"{'V': 60, 'Ga': 10, 'Sn': 10, 'H': 1}"
random1789609,"{'Mn': 32, 'Al': 48, 'H': 1}"
random1409504,"{'Ti': 36, 'Pd': 36, 'H': 1}"
random2359963,"{'Al': 66, 'Re': 24, 'H': 1}"
random1174800,"{'Nb': 12, 'S': 24, 'H': 1}"
random577785,"{'Zr': 24, 'Si': 48, 'H': 1}"
random1822233,"{'Sc': 32, 'Pt': 16, 'H': 1}"
random1521664,"{'Sn': 16, 'Pd': 24, 'Au': 8, 'H': 1}"
random2081841,"{'Sr': 8, 'Sn': 24, 'Sb': 32, 'H': 1}"
random1292481,"{'Sn': 30, 'Ti': 36, 'H': 1}"
random1982410,"{'Al': 52, 'Os': 16, 'H': 1}"
random524425,"{'Pb': 64, 'S': 64, 'H': 1}"
random897139,"{'Rb': 60, 'H': 1}"
random1461064,"{'Y': 48, 'Cd': 16, 'H': 1}"
random2178838,"{'Nb': 16, 'Si': 20, 'V': 8, 'H': 1}"
random1441170,"{'Hf': 144, 'P': 72, 'H': 1}"
random662801,"{'Si': 24, 'P': 48, 'H': 1}"
random2459371,"{'Hf': 16, 'W': 32, 'H': 1}"
random1067855,"{'Cr': 20, 'Ge': 20, 'Ru': 40, 'H': 1}"
random1608466,"{'Ge': 12, 'Te': 12, 'H': 1}"
random2396841,"{'Ga': 36, 'Ti': 12, 'H': 1}"
random2175466,"{'Ti': 8, 'Fe': 48, 'Ge': 48, 'H': 1}"
random1553917,"{'Cd': 27, 'Au': 27, 'H': 1}"
random2274033,"{'Hf': 36, 'S': 36, 'H': 1}"
random1377760,"{'Y': 32, 'Si': 64, 'Rh': 96, 'H': 1}"
random1478720,"{'Pb': 20, 'Rh': 40, 'Y': 20, 'H': 1}"
random2268305,"{'Co': 40, 'Ga': 20, 'Ti': 20, 'H': 1}"
random1841200,"{'Ge': 48, 'Pt': 24, 'H': 1}"
random1700527,"{'Pt': 48, 'W': 24, 'H': 1}"
random362795,"{'H': 13, 'Rb': 12}"
random931339,"{'Cl': 18, 'Sc': 18, 'H': 1}"
random685904,"{'Nb': 18, 'P': 36, 'H': 1}"
random964687,"{'Al': 12, 'Se': 24, 'Zn': 6, 'H': 1}"
random1144070,"{'Au': 20, 'Pd': 20, 'Sc': 40, 'H': 1}"
random436771,"{'Al': 36, 'Re': 72, 'H': 1}"
random1176896,"{'Y': 8, 'Ga': 32, 'Co': 4, 'H': 1}"
random1960504,"{'V': 56, 'S': 64, 'H': 1}"
random1381093,"{'Te': 24, 'Mo': 36, 'Se': 48, 'H': 1}"
random507184,"{'Ti': 9, 'V': 9, 'Se': 36, 'H': 1}"
random2227463,"{'Al': 12, 'Ge': 36, 'Ti': 24, 'H': 1}"
random456059,"{'Ti': 16, 'Ag': 16, 'H': 1}"
random892672,"{'Mo': 72, 'H': 1}"
random1908502,"{'Co': 24, 'As': 72, 'H': 1}"
random805533,"{'Ti': 24, 'Zn': 24, 'H': 1}"
random1685049,"{'As': 12, 'Pd': 60, 'H': 1}"
random754902,"{'V': 48, 'N': 36, 'H': 1}"
random1422513,"{'Hg': 24, 'K': 8, 'H': 1}"
random1405886,"{'Tl': 54, 'H': 1}"
random1085152,"{'Fe': 64, 'H': 1}"
random923254,"{'Al': 16, 'Tc': 32, 'H': 1}"
random1932414,"{'K': 24, 'H': 1}"
random2015340,"{'Ge': 32, 'Se': 16, 'N': 32, 'H': 1}"
random2438959,"{'Zr': 16, 'Ga': 32, 'H': 1}"
random1776609,"{'Ti': 24, 'Te': 32, 'H': 1}"
random670450,"{'Zr': 18, 'Ag': 36, 'H': 1}"
random863284,"{'Hf': 80, 'Ge': 64, 'H': 1}"
random2049796,"{'H': 37, 'V': 72}"
random1782590,"{'Nb': 12, 'S': 24, 'H': 1}"
random438839,"{'Zn': 12, 'Hg': 12, 'Se': 24, 'H': 1}"
random1549481,"{'Cr': 12, 'Te': 48, 'V': 24, 'H': 1}"
random657855,"{'Nb': 12, 'Pt': 24, 'H': 1}"
random2128495,"{'Ta': 24, 'Si': 48, 'H': 1}"
random1733213,"{'Te': 24, 'Zr': 16, 'H': 1}"
random490182,"{'Ti': 36, 'As': 36, 'H': 1}"
random172780,"{'As': 16, 'Se': 24, 'H': 1}"
random2209559,"{'C': 24, 'K': 40, 'N': 48, 'H': 1}"
random1621611,"{'Na': 8, 'Pb': 24, 'H': 1}"
random748381,"{'Sn': 24, 'Zr': 48, 'H': 1}"
random1832055,"{'Sc': 24, 'Rh': 72, 'H': 1}"
random2044744,"{'P': 24, 'S': 36, 'H': 1}"
random1560445,"{'Te': 20, 'Zr': 4, 'H': 1}"
random1853797,"{'Ti': 36, 'As': 36, 'H': 1}"
random1985868,"{'Mo': 9, 'Pt': 27, 'H': 1}"
random1023249,"{'In': 16, 'S': 24, 'H': 1}"
random1894308,"{'Ca': 12, 'Sn': 36, 'H': 1}"
random609664,"{'Y': 20, 'Zn': 20, 'H': 1}"
random2096760,"{'P': 12, 'Pd': 18, 'S': 48, 'H': 1}"
random1256852,"{'Mn': 12, 'V': 36, 'H': 1}"
random1010649,"{'Ta': 8, 'Tl': 16, 'S': 44, 'H': 1}"
random809607,"{'Al': 36, 'Re': 36, 'H': 1}"
random176180,"{'Ga': 48, 'Os': 24, 'H': 1}"
random2157476,"{'Ta': 16, 'Os': 48, 'H': 1}"
random759655,"{'K': 10, 'C': 6, 'N': 12, 'H': 1}"
random1346191,"{'Pb': 16, 'Rh': 32, 'Y': 16, 'H': 1}"
random1690041,"{'Ti': 24, 'P': 48, 'H': 1}"
random499027,"{'Sr': 16, 'P': 16, 'Pt': 16, 'H': 1}"
random1387421,"{'Nb': 60, 'Ge': 36, 'H': 1}"
random1520958,"{'Zr': 27, 'Se': 27, 'H': 1}"
random1701568,"{'Sr': 32, 'Al': 128, 'H': 1}"
random1457023,"{'As': 24, 'Cd': 12, 'Sr': 24, 'H': 1}"
random1182704,"{'Mn': 8, 'Al': 16, 'Cr': 24, 'H': 1}"
random1890857,"{'Ti': 20, 'Cu': 4, 'Sn': 12, 'H': 1}"
random654483,"{'Al': 8, 'Pd': 40, 'H': 1}"
random839081,"{'Zr': 36, 'H': 1}"
random588258,"{'Os': 16, 'Ru': 48, 'H': 1}"
random836001,"{'Al': 48, 'Pt': 96, 'H': 1}"
random2086339,"{'Cd': 16, 'Ga': 16, 'Sc': 32, 'H': 1}"
random2229827,"{'Zr': 48, 'Al': 48, 'Pt': 48, 'H': 1}"
random569252,"{'Te': 36, 'H': 1}"
random976373,"{'In': 32, 'Ti': 96, 'H': 1}"
random2219053,"{'Na': 48, 'Te': 48, 'H': 1}"
random1540988,"{'Cr': 24, 'P': 96, 'H': 1}"
random1912093,"{'P': 32, 'S': 40, 'H': 1}"
random1666829,"{'Ir': 36, 'Ru': 36, 'H': 1}"
random151459,"{'Rh': 16, 'Zr': 32, 'H': 1}"
random1496835,"{'Zr': 16, 'Ru': 32, 'H': 1}"
random2022365,"{'Zn': 32, 'As': 32, 'H': 1}"
random1748758,"{'Hf': 36, 'Zn': 36, 'H': 1}"
random2245868,"{'Hf': 36, 'Ag': 36, 'H': 1}"
random1215045,"{'Nb': 16, 'Ge': 16, 'Sb': 16, 'H': 1}"
random2148730,"{'Y': 32, 'Zr': 16, 'S': 80, 'H': 1}"
random760701,"{'Al': 8, 'Ca': 16, 'Pt': 16, 'H': 1}"
random2426959,"{'Sr': 24, 'H': 1}"
random1975417,"{'Rb': 32, 'Co': 16, 'S': 32, 'H': 1}"
random960254,"{'Al': 32, 'Ti': 16, 'H': 1}"
random196967,"{'Mo': 9, 'Pd': 27, 'H': 1}"
random2468810,"{'Sc': 24, 'V': 36, 'Si': 48, 'H': 1}"
random2086900,"{'Sb': 32, 'Os': 32, 'S': 32, 'H': 1}"
random1746190,"{'Zr': 36, 'Sn': 12, 'H': 1}"
random453883,"{'Zr': 40, 'Si': 24, 'H': 1}"
random1403659,"{'Ca': 16, 'Se': 16, 'H': 1}"
random68156,"{'As': 12, 'Ga': 12, 'H': 1}"
random2456229,"{'Al': 72, 'Co': 16, 'H': 1}"
random1712853,"{'Zr': 18, 'As': 27, 'Se': 9, 'H': 1}"
random2421004,"{'Tl': 24, 'H': 1}"
random1795706,"{'Ga': 16, 'In': 16, 'Te': 32, 'H': 1}"
random762251,"{'Rb': 6, 'Te': 6, 'Au': 6, 'H': 1}"
random1601147,"{'N': 36, 'Nb': 36, 'H': 1}"
random311718,"{'Rb': 8, 'Au': 8, 'H': 1}"
random2010598,"{'Ni': 32, 'P': 96, 'H': 1}"
random1999786,"{'Sc': 48, 'P': 32, 'H': 1}"
random828417,"{'Cs': 32, 'H': 1}"
random1775903,"{'Se': 9, 'S': 63, 'H': 1}"
random449346,"{'Mo': 16, 'Rh': 48, 'H': 1}"
random1191571,"{'Y': 16, 'Ag': 16, 'Se': 32, 'H': 1}"
random1569941,"{'Mo': 32, 'S': 64, 'V': 16, 'H': 1}"
random1622791,"{'Pt': 40, 'Se': 32, 'H': 1}"
random377490,"{'Ca': 24, 'Ga': 16, 'N': 32, 'H': 1}"
random1259756,"{'Zn': 48, 'Zr': 24, 'H': 1}"
random2435874,"{'Al': 24, 'S': 36, 'H': 1}"
random44502,"{'Sn': 16, 'Rh': 48, 'H': 1}"
random137862,"{'Y': 8, 'Pb': 24, 'H': 1}"
random1322896,"{'Na': 36, 'Cd': 12, 'H': 1}"
random39711,"{'S': 32, 'Si': 16, 'H': 1}"
random91499,"{'Y': 8, 'Sn': 24, 'H': 1}"
random1458690,"{'Co': 8, 'Ni': 8, 'Te': 32, 'H': 1}"
random2167270,"{'K': 24, 'Ge': 12, 'Se': 36, 'H': 1}"
random1157283,"{'Na': 16, 'Sn': 32, 'Sr': 8, 'H': 1}"
random2338474,"{'Na': 120, 'Pb': 32, 'H': 1}"
random2421521,"{'Ge': 48, 'Ru': 32, 'H': 1}"
random689829,"{'V': 48, 'Sn': 16, 'H': 1}"
random96169,"{'Al': 48, 'Hf': 16, 'H': 1}"
random1356831,"{'Zn': 10, 'Sn': 10, 'P': 20, 'H': 1}"
random1930287,"{'Y': 20, 'Al': 60, 'H': 1}"
random1613004,"{'Y': 36, 'H': 25}"
random1594812,"{'Ca': 16, 'Ni': 80, 'H': 1}"
random1011658,"{'Nb': 12, 'Ge': 12, 'As': 12, 'H': 1}"
random764441,"{'Al': 12, 'Co': 24, 'Zr': 12, 'H': 1}"
random654313,"{'H': 37, 'Zr': 36}"
random2255705,"{'Te': 32, 'Au': 16, 'H': 1}"
random699788,"{'Cs': 16, 'H': 1}"
random265461,"{'K': 10, 'Hg': 30, 'H': 1}"
random439770,"{'Al': 32, 'Re': 32, 'H': 1}"
random1439953,"{'K': 64, 'H': 1}"
random751330,"{'Fe': 20, 'Sb': 20, 'Zr': 20, 'H': 1}"
random1671269,"{'Ti': 36, 'As': 36, 'H': 1}"
random1942901,"{'V': 18, 'S': 36, 'H': 1}"
random267770,"{'Nb': 32, 'H': 1}"
random1653815,"{'In': 36, 'H': 1}"
random1883553,"{'Hf': 48, 'Bi': 16, 'H': 1}"
random1966686,"{'Cr': 16, 'Cl': 48, 'H': 1}"
random1513654,"{'Hf': 16, 'Pd': 48, 'H': 1}"
random528027,"{'Os': 18, 'Ru': 18, 'H': 1}"
random990693,"{'Sc': 24, 'Sn': 8, 'H': 1}"
random1692650,"{'V': 24, 'S': 24, 'H': 1}"
random41081,"{'Cr': 16, 'Si': 32, 'H': 1}"
random944606,"{'Rb': 16, 'In': 64, 'H': 1}"
random1851926,"{'Zr': 30, 'Ga': 24, 'H': 1}"
random2355262,"{'Te': 32, 'Rh': 32, 'H': 1}"
random1209339,"{'Fe': 72, 'Si': 24, 'H': 1}"
random1916004,"{'Au': 32, 'Ti': 32, 'Zr': 32, 'H': 1}"
random754716,"{'Pb': 54, 'H': 1}"
random2020090,"{'Au': 12, 'In': 24, 'H': 1}"
random1588565,"{'Bi': 16, 'K': 48, 'Te': 48, 'H': 1}"
random1803052,"{'Sn': 20, 'Pd': 60, 'H': 1}"
random918542,"{'Nb': 64, 'N': 80, 'H': 1}"
random1822279,"{'Pd': 40, 'Sn': 56, 'H': 1}"
random627265,"{'Ga': 32, 'Hf': 32, 'Zn': 64, 'H': 1}"
random1170401,"{'Ru': 32, 'Sn': 16, 'Ti': 16, 'H': 1}"
random1433498,"{'Na': 32, 'Fe': 32, 'As': 32, 'H': 1}"
random1794253,"{'Na': 24, 'Bi': 24, 'H': 1}"
random543421,"{'V': 72, 'H': 1}"
random625647,"{'P': 60, 'Sr': 20, 'H': 1}"
random1870874,"{'Cr': 16, 'Mn': 16, 'Zr': 16, 'H': 1}"
random2494238,"{'Ga': 24, 'Mn': 48, 'Ti': 24, 'H': 1}"
random874775,"{'W': 54, 'C': 24, 'H': 1}"
random983765,"{'Pt': 16, 'Rh': 48, 'H': 1}"
random2308167,"{'In': 24, 'Sb': 8, 'Te': 16, 'H': 1}"
random1620200,"{'Mo': 24, 'V': 24, 'Zr': 24, 'H': 1}"
random1287072,"{'Hg': 12, 'Na': 24, 'Sn': 12, 'H': 1}"
random1364088,"{'As': 12, 'Ni': 16, 'S': 20, 'H': 1}"
random2495662,"{'Mo': 24, 'Ir': 24, 'H': 1}"
random1863313,"{'Ca': 12, 'In': 24, 'Sr': 12, 'H': 1}"
random1687696,"{'Ni': 24, 'Te': 24, 'H': 1}"
random1872006,"{'Hf': 24, 'P': 48, 'H': 1}"
random759132,"{'V': 72, 'Ga': 60, 'H': 1}"
random134591,"{'Bi': 12, 'Pb': 12, 'Se': 30, 'H': 1}"
random608936,"{'Na': 54, 'H': 1}"
random1496524,"{'Pd': 56, 'Se': 32, 'H': 1}"
random479900,"{'Nb': 16, 'Sn': 32, 'H': 1}"
random156400,"{'Al': 24, 'Ag': 24, 'H': 1}"
random1542079,"{'Fe': 48, 'Co': 48, 'As': 48, 'H': 1}"
random1108596,"{'Ga': 18, 'Pt': 54, 'H': 1}"
random519744,"{'Ni': 16, 'Y': 16, 'H': 1}"
random1869955,"{'Si': 24, 'Ni': 48, 'H': 1}"
random1059403,"{'Ge': 12, 'H': 49}"
random1721305,"{'Cs': 8, 'Hg': 16, 'H': 1}"
random1695301,"{'Tl': 16, 'Te': 24, 'H': 1}"
random486474,"{'Al': 104, 'Os': 32, 'H': 1}"
random2416793,"{'Sn': 16, 'Ge': 16, 'Se': 32, 'H': 1}"
random1912866,"{'Sr': 24, 'H': 49}"
